posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.3980132000288,None,c,12.922032899979968,,,,,,,,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.1,,,,,,,,0,0,0,0,,,,,,,,,0.25,0.25,8.49011,27.297779700020328,None,return,6.037977900006808,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.25,,,,,,,,0,1,1,1,,,,,,,,,0.2,0.2,6.79209,35.51444449997507,None,return,2.9733961000456475,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.4,,,,,,,,0,2,2,2,,,,,,,,,0.35,0.35,11.88616,40.664451399992686,None,return,4.207445600011852,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.4,,,,,,,,1,0,3,2,,,,,,,,,0.3,0.3,10.18813,46.04774120001821,None,return,1.351984100008849,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.1,,,,,,,,1,1,4,0,,,,,,,,,0.3,0.10000000000000002,3.39604,49.331095699977595,None,return,2.0046029000077397,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.25,,,,,,,,1,2,5,1,,,,,,,,,0.2,0.2,6.79209,53.264358800021,None,return,1.831625199993141,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.1,,,,,,,,2,0,6,0,,,,,,,,,0.3,0.10000000000000002,3.39604,56.26441589999013,None,return,1.9673390000243671,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.25,,,,,,,,2,1,7,1,,,,,,,,,0.4,0.15000000000000008,5.09407,59.39770370000042,None,return,1.7619489000062458,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
10,0.4,,,,,,,,2,2,8,2,,,,,,,,,0.1,0.3,10.18813,62.33098269999027,None,return,1.4205741999903694,,,,,,,,,,,,18,20,female,2023_Oct_18_1351,control,2021.2.3,59.99862002821635,
