posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,16.31255550001515,None,c,3.0227452000253834,,,,,,,,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.1,,,,,,,,0,0,0,0,,,,,,,,,0.2,0.2,7.20859,20.554792600043584,None,return,6.252167800033931,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.4,,,,,,,,0,1,1,2,,,,,,,,,0.3,0.3,10.81288,28.48811040003784,None,return,4.446807899978012,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.25,,,,,,,,0,2,2,1,,,,,,,,,0.1,0.3,10.81288,34.85477570001967,None,return,4.800381599983666,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.25,,,,,,,,1,0,3,1,,,,,,,,,0.35,0.2,7.20859,41.571420299995225,None,return,2.1635743000078946,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.1,,,,,,,,1,1,4,0,,,,,,,,,0.35,0.10000000000000002,3.60429,44.90457020001486,None,return,2.5903811000171117,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.4,,,,,,,,1,2,5,2,,,,,,,,,0.15,0.39999999999999997,14.41717,48.92128390003927,None,return,2.077628900005948,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.1,,,,,,,,2,0,6,0,,,,,,,,,0.2,0.05000000000000002,1.80215,52.921234200010076,None,return,2.2537022000178695,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.4,,,,,,,,2,1,7,2,,,,,,,,,0.1,0.39999999999999997,14.41717,56.854743300005794,None,return,2.544239600014407,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.25,,,,,,,,2,2,8,1,,,,,,,,,0.15,0.39999999999999997,14.41717,61.321400000015274,None,return,3.005452199955471,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
10,0.25,,,,,,,,3,0,9,1,,,,,,,,,0.45,0.35000000000000003,12.61502,66.50474940001732,None,return,1.5021046999609098,,,,,,,,,,,,19,24,female,2023_Oct_18_1534,control,2021.2.3,60.00988962826848,
