posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,16.82560129999183,None,c,34.081078900024295,,,,,,,,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.25,,,,,,,,0,0,0,1,,,,,,,,,0.4,0.30000000000000004,10.18813,52.87752289988566,None,return,2.4282766999676824,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.1,,,,,,,,0,1,1,0,,,,,,,,,0.15,0.09999999999999999,3.39604,56.977618699893355,None,return,2.6161633000010625,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.4,,,,,,,,0,2,2,2,,,,,,,,,0.25,0.3,10.18813,61.76098069990985,None,return,1.8006415999261662,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.1,,,,,,,,1,0,3,0,,,,,,,,,0.15,0.04999999999999999,1.69802,64.97770089993719,None,return,1.1602890000212938,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.25,,,,,,,,1,1,4,1,,,,,,,,,0.25,0.15000000000000002,5.09407,67.56099689996336,None,return,1.4090130000840873,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.4,,,,,,,,1,2,5,2,,,,,,,,,0.2,0.3,10.18813,70.1443433999084,None,return,1.12962089991197,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.1,,,,,,,,2,0,6,0,,,,,,,,,0.45,0.15000000000000008,5.09407,72.44419549999293,None,return,2.0938507999526337,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.25,,,,,,,,2,1,7,1,,,,,,,,,0.45,0.15000000000000008,5.09407,75.7109860999044,None,return,1.8348518999991938,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.4,,,,,,,,2,2,8,2,,,,,,,,,0.2,0.39999999999999997,13.58418,78.72768189990893,None,return,1.4101328999968246,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.4,,,,,,,,3,0,9,2,,,,,,,,,0.4,0.25000000000000006,8.49011,81.56103989994153,None,return,1.5526817999780178,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.1,,,,,,,,3,1,10,0,,,,,,,,,0.35,0.05000000000000002,1.69802,84.79433449998032,None,return,1.7593532999744639,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.25,,,,,,,,3,2,11,1,,,,,,,,,0.35,0.10000000000000002,3.39604,88.22765919996891,None,return,1.3180451000807807,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.1,,,,,,,,4,0,12,0,,,,,,,,,0.3,0.05000000000000002,1.69802,91.46100139990449,None,return,1.9087922000326216,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.4,,,,,,,,4,1,13,2,,,,,,,,,0.45,0.25000000000000006,8.49011,95.54422699997667,None,return,1.377779999980703,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.25,,,,,,,,4,2,14,1,,,,,,,,,0.3,0.10000000000000002,3.39604,99.09432709997054,None,return,1.011703300056979,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.25,,,,,,,,5,0,15,1,,,,,,,,,0.2,0.15000000000000002,5.09407,101.52758579992224,None,return,2.322002400062047,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.1,,,,,,,,5,1,16,0,,,,,,,,,0.4,0.10000000000000007,3.39604,106.0276937999297,None,return,2.0302816999610513,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
10,0.4,,,,,,,,5,2,17,2,,,,,,,,,0.1,0.35,11.88616,109.4777052999707,None,return,1.9721094999695197,,,,,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.47771739994641,None,c,1.6206993999658152,,,,,,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,0,0,0,7,,,,,,,,,,,,,,,,num_2,0,0.7746872999705374,115.0276836999692,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,0,1,1,6,,,,,,,,,,,,,,,,num_1,0,0.6187891999725252,117.72740599990357,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,0,2,2,1,,,,,,,,,,,,,,,,num_2,0,0.4147719000466168,120.02756869990844,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,0,3,3,16,,,,,,,,,,,,,,,,num_1,0,0.5237816999433562,122.11081999994349,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,0,4,4,15,,,,,,,,,,,,,,,,num_2,0,0.3590855000074953,123.81088419992011,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,0,5,5,10,,,,,,,,,,,,,,,,num_1,0,0.5923576999921352,125.59404039999936,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,0,6,6,14,,,,,,,,,,,,,,,,num_1,0,0.44917359994724393,128.3610222999705,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,0,7,7,17,,,,,,,,,,,,,,,,num_2,0,0.42836609994992614,130.47765959997196,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,0,8,8,4,,,,,,,,,,,,,,,,num_1,0,0.5002370999427512,133.07752729998901,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,0,9,9,0,,,,,,,,,,,,,,,,num_1,0,0.4781730000395328,135.24424159992486,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,0,10,10,13,,,,,,,,,,,,,,,,num_2,0,0.42023099993821234,137.894044799963,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,0,11,11,11,,,,,,,,,,,,,,,,num_1,0,0.20786119997501373,139.99438549997285,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,0,12,12,9,,,,,,,,,,,,,,,,num_2,0,0.5447312999749556,142.37770219997037,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,0,13,13,5,,,,,,,,,,,,,,,,num_2,0,0.31201939994934946,144.59426359995268,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,0,14,14,3,,,,,,,,,,,,,,,,num_2,0,0.35114139993675053,146.82742059999146,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,0,15,15,12,,,,,,,,,,,,,,,,num_1,0,0.525923200068064,148.84438479994424,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,0,16,16,8,,,,,,,,,,,,,,,,num_1,0,0.5776043999940157,151.54435919993557,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,0,17,17,2,,,,,,,,,,,,,,,,num_1,0,0.3643658000510186,153.29419859999325,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,1,0,18,7,,,,,,,,,,,,,,,,num_2,0,0.37258989992551506,155.07755619997624,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,1,1,19,8,,,,,,,,,,,,,,,,num_1,0,0.4827825999818742,157.1276045999257,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,1,2,20,2,,,,,,,,,,,,,,,,num_1,0,0.39067389990668744,159.0277498998912,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,1,3,21,12,,,,,,,,,,,,,,,,num_1,0,0.47227040003053844,160.5940883998992,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,1,4,22,6,,,,,,,,,,,,,,,,num_1,0,0.476271599996835,162.49410769995302,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,1,5,23,11,,,,,,,,,,,,,,,,num_2,0,7.280228800023906,164.39428639994003,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,1,6,24,17,,,,,,,,,,,,,,,,num_2,0,0.5124000000068918,173.59426009992603,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,1,7,25,5,,,,,,,,,,,,,,,,num_2,0,0.42478479992132634,175.77750689990353,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,1,8,26,13,,,,,,,,,,,,,,,,num_2,0,0.3983563999645412,177.6277142999461,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,1,9,27,16,,,,,,,,,,,,,,,,num_1,0,0.48801700002513826,180.1942762999097,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,1,10,28,3,,,,,,,,,,,,,,,,num_2,0,0.44342539994977415,182.11104369990062,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,1,11,29,15,,,,,,,,,,,,,,,,num_2,0,0.4807942999759689,183.9775996999815,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,1,12,30,10,,,,,,,,,,,,,,,,num_1,0,0.4628363000229001,185.62761809991207,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,1,13,31,9,,,,,,,,,,,,,,,,num_2,0,0.3237663999898359,187.5107321999967,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,1,14,32,0,,,,,,,,,,,,,,,,num_1,0,0.4069478999590501,189.0111083999509,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,1,15,33,4,,,,,,,,,,,,,,,,num_1,0,0.36217500001657754,191.34426359995268,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,1,16,34,1,,,,,,,,,,,,,,,,num_2,0,0.47872260003350675,193.62763959995937,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,1,17,35,14,,,,,,,,,,,,,,,,num_1,0,0.38070749992039055,195.2777053999016,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,2,0,36,13,,,,,,,,,,,,,,,,num_2,0,0.4167447000509128,197.5774975999957,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,2,1,37,10,,,,,,,,,,,,,,,,num_1,0,0.3816157999681309,199.66080499999225,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,2,2,38,14,,,,,,,,,,,,,,,,num_1,0,0.43975600006524473,202.21077719994355,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,2,3,39,1,,,,,,,,,,,,,,,,num_2,0,0.4251271999673918,204.57732099993154,None,,,11,23,female,2023_Aug_28_1723,control,2021.2.3,59.99264491556864,
