posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,11.698467400041409,None,c,34.97858920006547,,,,,,,,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.1,,,,,,,,0,0,0,0,,,,,,,,,0.3,0.15000000000000002,5.09407,47.90732849994674,None,return,9.425449599977583,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.25,,,,,,,,0,1,1,1,,,,,,,,,0.4,0.20000000000000007,6.79209,59.25733199995011,None,return,4.059429599903524,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.4,,,,,,,,0,2,2,2,,,,,,,,,0.35,0.3,10.18813,64.74051210004836,None,return,2.512412599986419,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.4,,,,,,,,1,0,3,2,,,,,,,,,0.4,0.20000000000000007,6.79209,68.42401580000296,None,return,3.052619499969296,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.25,,,,,,,,1,1,4,1,,,,,,,,,0.1,0.2,6.79209,72.65697050001472,None,return,3.428335899952799,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.1,,,,,,,,1,2,5,0,,,,,,,,,0.1,0.05,1.69802,77.50721569999587,None,return,2.065678399987519,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.25,,,,,,,,2,0,6,1,,,,,,,,,0.4,0.20000000000000007,6.79209,81.24049009999726,None,return,3.3561937999911606,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.4,,,,,,,,2,1,7,2,,,,,,,,,0.1,0.35,11.88616,86.02401910000481,None,return,2.4448005999438465,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
10,0.1,,,,,,,,2,2,8,0,,,,,,,,,0.35,0.10000000000000002,3.39604,89.89063669997267,None,return,3.842120400047861,,,,,,,,,,,,12,22,female,2023_Aug_28_1829,control,2021.2.3,60.02303683527363,
