posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,0,2,2,6,,,,,,,,,,,,,,,,num_1,0,0.9033018000000084,126.09099900000001,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,0,3,3,7,,,,,,,,,,,,,,,,num_2,0,0.44883359999994354,128.6742938000002,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,0,4,4,2,,,,,,,,,,,,,,,,num_1,0,0.5114303000000291,130.29122350000034,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,0,5,5,10,,,,,,,,,,,,,,,,num_1,0,0.4283116000001428,131.97427880000032,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,0,6,6,5,,,,,,,,,,,,,,,,num_2,0,0.674133299999994,133.82439410000006,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,0,7,7,15,,,,,,,,,,,,,,,,num_2,0,0.5162531000000854,136.17421730000024,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,0,8,8,11,,,,,,,,,,,,,,,,num_2,0,0.4029347000000598,138.60767430000033,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,0,9,9,17,,,,,,,,,,,,,,,,num_2,0,0.46769529999983206,140.1911441000002,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,0,10,10,14,,,,,,,,,,,,,,,,num_1,0,0.5034660000001168,142.09113510000043,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,0,11,11,1,,,,,,,,,,,,,,,,num_2,0,0.586080299999594,144.02437670000018,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,0,12,12,0,,,,,,,,,,,,,,,,num_1,0,0.6493602000000465,146.04107150000027,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,0,13,13,9,,,,,,,,,,,,,,,,num_2,0,0.514736499999799,148.60773880000033,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,0,14,14,12,,,,,,,,,,,,,,,,num_1,0,0.577368999999635,151.04108220000035,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,0,15,15,16,,,,,,,,,,,,,,,,num_1,0,0.47776680000015403,153.54102440000042,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,0,16,16,13,,,,,,,,,,,,,,,,num_2,0,0.6632246999997733,155.69114160000026,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,0,17,17,3,,,,,,,,,,,,,,,,num_2,0,0.653932000000168,157.52438080000002,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,1,0,18,6,,,,,,,,,,,,,,,,num_1,0,0.6349989000000278,159.60773400000016,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,1,1,19,15,,,,,,,,,,,,,,,,num_2,0,0.7442403000000013,161.6743848000001,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,1,2,20,1,,,,,,,,,,,,,,,,num_2,0,0.4353625999997348,164.5909432000003,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,1,3,21,3,,,,,,,,,,,,,,,,num_2,0,0.3608415000003333,166.4577089000004,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,1,4,22,8,,,,,,,,,,,,,,,,num_1,0,0.4493419000000358,168.24115210000036,None,13,21,female,2023_Oct_10_1412,control,2021.2.3,59.92670963421383,
