posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,20.83073389995843,None,c,8.857406500028446,,,,,,,,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.1,,,,,,,,0,0,0,0,,,,,,,,,0.4,0.10000000000000007,3.39604,31.403878000099212,None,return,13.72386009991169,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.4,,,,,,,,0,1,1,2,,,,,,,,,0.45,0.15000000000000008,5.09407,47.053832800127566,None,return,10.009814999997616,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.25,,,,,,,,0,2,2,1,,,,,,,,,0.35,0.15000000000000002,5.09407,58.736958200111985,None,return,3.0305283998604864,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.25,,,,,,,,1,0,3,1,,,,,,,,,0.35,0.10000000000000002,3.39604,63.437259800033644,None,return,2.4743593998719007,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.1,,,,,,,,1,1,4,0,,,,,,,,,0.3,0.05000000000000002,1.69802,67.58701580017805,None,return,2.5005662001203746,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.4,,,,,,,,1,2,5,2,,,,,,,,,0.35,0.15000000000000002,5.09407,71.50392250018194,None,return,2.3115860000252724,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.25,,,,,,,,2,0,6,1,,,,,,,,,0.2,0.3,10.18813,75.23692320007831,None,return,2.946882799966261,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.1,,,,,,,,2,1,7,0,,,,,,,,,0.45,0.15000000000000008,5.09407,79.35367690003477,None,return,2.8941903999075294,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.4,,,,,,,,2,2,8,2,,,,,,,,,0.25,0.35,11.88616,83.42045410000719,None,return,2.1229847001377493,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.25,,,,,,,,3,0,9,1,,,,,,,,,0.2,0.15000000000000002,5.09407,87.47056409996003,None,return,3.7690141000784934,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.4,,,,,,,,3,1,10,2,,,,,,,,,0.2,0.35,11.88616,92.4202994001098,None,return,3.3633866000454873,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.1,,,,,,,,3,2,11,0,,,,,,,,,0.2,0.05000000000000002,1.69802,97.95389800006524,None,return,2.869711000006646,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.4,,,,,,,,4,0,12,2,,,,,,,,,0.1,0.25,8.49011,102.75358050013892,None,return,3.4615765002090484,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.25,,,,,,,,4,1,13,1,,,,,,,,,0.1,0.35,11.88616,108.38721440010704,None,return,2.836413700133562,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.1,,,,,,,,4,2,14,0,,,,,,,,,0.25,0.05000000000000002,1.69802,113.1538317000959,None,return,2.0694798999466,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.1,,,,,,,,5,0,15,0,,,,,,,,,0.35,0.10000000000000002,3.39604,116.90347010013647,None,return,2.512243499979377,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.25,,,,,,,,5,1,16,1,,,,,,,,,0.2,0.05000000000000002,1.69802,120.83721540006809,None,return,1.7304609001148492,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
10,0.4,,,,,,,,5,2,17,2,,,,,,,,,0.45,0.20000000000000007,6.79209,124.73722760006785,None,return,2.6465248002205044,,,,,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.40393140004016,None,c,4.923759799916297,,,,,,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,0,0,0,8,,,,,,,,,,,,,,,,num_1,0,2.4796549000311643,134.52042920002714,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,0,1,1,5,,,,,,,,,,,,,,,,num_2,0,1.26804929994978,138.42025870014913,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,0,2,2,6,,,,,,,,,,,,,,,,num_1,0,0.9537748999428004,141.87024369998835,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,0,3,3,4,,,,,,,,,,,,,,,,num_1,0,0.6880942001007497,144.50386289996095,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,0,4,4,13,,,,,,,,,,,,,,,,num_2,0,0.9833628998603672,147.12040360015817,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,0,5,5,16,,,,,,,,,,,,,,,,num_1,0,0.7618062000256032,150.27035330003127,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,0,6,6,10,,,,,,,,,,,,,,,,num_1,0,0.4763027001172304,152.20363610005006,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,0,7,7,2,,,,,,,,,,,,,,,,num_1,0,0.4278331999666989,154.60372530017048,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,0,8,8,9,,,,,,,,,,,,,,,,num_2,0,0.7483717000577599,156.20365449995734,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,0,9,9,15,,,,,,,,,,,,,,,,num_2,0,0.3856687000952661,158.87026670016348,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,0,10,10,3,,,,,,,,,,,,,,,,num_2,0,0.3865769000258297,160.43720549996942,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,0,11,11,7,,,,,,,,,,,,,,,,num_2,0,0.43230530014261603,162.5037138001062,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,0,12,12,17,,,,,,,,,,,,,,,,num_2,0,0.45630190009251237,165.1037571001798,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,0,13,13,1,,,,,,,,,,,,,,,,num_2,0,0.6468525000382215,166.7370963001158,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,0,14,14,11,,,,,,,,,,,,,,,,num_2,0,0.541730800177902,168.55384439998306,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,0,15,15,12,,,,,,,,,,,,,,,,num_1,0,0.44848309992812574,170.52025540010072,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,0,16,16,14,,,,,,,,,,,,,,,,num_1,0,0.3946907001081854,172.63706840015948,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,0,17,17,0,,,,,,,,,,,,,,,,num_1,0,0.43470480013638735,174.4538764001336,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,1,0,18,2,,,,,,,,,,,,,,,,num_1,0,0.3375222000759095,176.07033030013554,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,1,1,19,17,,,,,,,,,,,,,,,,num_2,0,0.3889239998534322,177.5868820999749,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,1,2,20,11,,,,,,,,,,,,,,,,num_2,0,0.2785757998935878,179.15369960013777,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,1,3,21,8,,,,,,,,,,,,,,,,num_1,0,0.49471410014666617,181.35349870007485,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,1,4,22,16,,,,,,,,,,,,,,,,num_1,0,0.48166200006380677,183.27038340014406,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,1,5,23,6,,,,,,,,,,,,,,,,num_1,0,0.36856239987537265,184.9203664001543,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,1,6,24,5,,,,,,,,,,,,,,,,num_2,0,0.445815899875015,186.9535866000224,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,1,7,25,10,,,,,,,,,,,,,,,,num_1,0,0.42170619987882674,189.57023219997063,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,1,8,26,14,,,,,,,,,,,,,,,,num_1,0,0.3015566000249237,192.17021919996478,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,1,9,27,12,,,,,,,,,,,,,,,,num_1,0,0.31880349991843104,194.13687860011123,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,1,10,28,0,,,,,,,,,,,,,,,,num_1,0,0.2679675000254065,196.6203901001718,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,1,11,29,1,,,,,,,,,,,,,,,,num_2,0,0.6250977001618594,198.070398400072,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,1,12,30,3,,,,,,,,,,,,,,,,num_2,0,0.2890155999921262,200.87036980013363,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,1,13,31,4,,,,,,,,,,,,,,,,num_1,0,0.39935239986516535,203.33692710008472,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,1,14,32,7,,,,,,,,,,,,,,,,num_2,0,0.3320658002048731,205.40383010008372,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,1,15,33,13,,,,,,,,,,,,,,,,num_2,0,0.18457000004127622,207.9034907000605,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,1,16,34,15,,,,,,,,,,,,,,,,num_2,0,0.28036360000260174,209.50382290012203,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,1,17,35,9,,,,,,,,,,,,,,,,num_2,0,0.2784078000113368,211.9534593001008,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,2,0,36,2,,,,,,,,,,,,,,,,num_1,0,0.4445543000474572,213.4034439001698,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,2,1,37,16,,,,,,,,,,,,,,,,num_1,0,0.37179769994691014,216.0200813000556,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,2,2,38,8,,,,,,,,,,,,,,,,num_1,0,0.2732689999975264,218.07051350013353,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,2,3,39,12,,,,,,,,,,,,,,,,num_1,0,0.2658973000943661,220.27013200009242,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,2,4,40,0,,,,,,,,,,,,,,,,num_1,0,0.24640040006488562,221.95359500008635,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,2,5,41,1,,,,,,,,,,,,,,,,num_2,0,0.5469170000869781,223.62048540008254,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,2,6,42,15,,,,,,,,,,,,,,,,num_2,0,0.3849188999738544,226.08702530013397,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,2,7,43,13,,,,,,,,,,,,,,,,num_2,0,0.25159460003487766,228.6369229000993,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,2,8,44,5,,,,,,,,,,,,,,,,num_2,0,0.2734669998753816,230.07024400006048,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,2,9,45,4,,,,,,,,,,,,,,,,num_2,0,0.20517690014094114,231.77033179998398,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,2,10,46,17,,,,,,,,,,,,,,,,num_2,0,0.7221170999109745,233.65343090007082,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,2,11,47,6,,,,,,,,,,,,,,,,num_1,0,0.34954369999468327,236.5537847999949,None,,,4,22,female,2023_Aug_14_1612,control,2021.2.3,60.07792105545516,
