posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,0,2,2,2,,,,,,,,,,,,,,,,num_1,0,0.45129640004597604,134.18918240000494,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,0,3,3,15,,,,,,,,,,,,,,,,num_2,0,0.35112129990011454,136.30571340001188,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,0,4,4,6,,,,,,,,,,,,,,,,num_1,0,0.40402449993416667,138.5724184999708,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,0,5,5,4,,,,,,,,,,,,,,,,num_1,0,0.3949436000548303,140.40578679996543,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,0,6,6,9,,,,,,,,,,,,,,,,num_2,0,0.42423279979266226,142.47241940000094,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,0,7,7,13,,,,,,,,,,,,,,,,num_2,0,2.9002892998978496,144.5725483999122,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,0,8,8,1,,,,,,,,,,,,,,,,num_2,0,0.5136615999508649,148.63911390001886,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,0,9,9,10,,,,,,,,,,,,,,,,num_1,0,0.4103311998769641,150.82239529979415,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,0,10,10,12,,,,,,,,,,,,,,,,num_1,0,0.3489696001634002,153.15574590000324,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,0,11,11,17,,,,,,,,,,,,,,,,num_2,0,0.3204401000402868,154.67216109996662,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
